1.554595200999000000e+12	5.043890000000000327e+03	9.583535980000000336e+02
1.554598800999000000e+12	5.039609999999999673e+03	7.830782500000000255e+02
1.554602400999000000e+12	5.044109999999999673e+03	8.162266499999999496e+02
1.554606000999000000e+12	5.120989999999999782e+03	1.247681016000000000e+03
1.554609600999000000e+12	5.120000000000000000e+03	2.539290074999999888e+03
1.554613200999000000e+12	5.131439999999999600e+03	1.431842343000000028e+03
1.554616800999000000e+12	5.098000000000000000e+03	1.268024055000000089e+03
1.554620400999000000e+12	5.134409999999999854e+03	1.243810222999999951e+03
1.554624000999000000e+12	5.136609999999999673e+03	1.169445357000000058e+03
1.554627600999000000e+12	5.157000000000000000e+03	1.330280764999999974e+03
1.554631200999000000e+12	5.130149999999999636e+03	1.399211684000000105e+03
1.554634800999000000e+12	5.122560000000000400e+03	1.147979988999999932e+03
1.554638400999000000e+12	5.115039999999999964e+03	1.287010974000000033e+03
1.554642000999000000e+12	5.144479999999999563e+03	7.823896330000000034e+02
1.554645600999000000e+12	5.158039999999999964e+03	1.394171051999999918e+03
1.554649200999000000e+12	5.133229999999999563e+03	1.271882391000000098e+03
1.554652800999000000e+12	5.120609999999999673e+03	1.423046207999999979e+03
1.554656400999000000e+12	5.103979999999999563e+03	3.446438618000000133e+03
1.554660000999000000e+12	5.123859999999999673e+03	1.226666418000000021e+03
1.554663600999000000e+12	5.120000000000000000e+03	9.098247000000000071e+02
1.554667200999000000e+12	5.121159999999999854e+03	1.355989540999999917e+03
1.554670800999000000e+12	5.127729999999999563e+03	2.189136246999999912e+03
1.554674400999000000e+12	5.136880000000000109e+03	7.818812799999999470e+02
1.554678000999000000e+12	5.159029999999999745e+03	4.152529110999999830e+03
